13	assess	assess	VERB	VB	VerbForm=Inf	0	root	_	FUN=assessVB
    5	aware	aware	ADJ	JJ	Degree=Pos	13	advcl	_	FUN=aware_A
    10	,	,	PUNCT	,	_	13	punct	_	_
    11	it	it	PRON	PRP	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	13	nsubj	_	FUN=PRONPRP
    12	must	must	AUX	MD	VerbForm=Fin	13	aux	_	_
    19	breach	breach	NOUN	NN	Number=Sing	13	ccomp	_	FUN=breach_N
    25	.	.	PUNCT	.	_	13	punct	_	_

4	report	report	VERB	VB	VerbForm=Inf	0	root	_	FUN=reportVB
    2	organisation	organisation	NOUN	NN	Number=Sing	4	nsubj	_	FUN=organisation_N
    3	must	must	AUX	MD	VerbForm=Fin	4	aux	_	_
    8	breach	breach	NOUN	NN	Number=Sing	4	obj	_	FUN=breach_N
    11	Commission	commission	NOUN	NN	Number=Sing	4	obl	_	FUN=commission_N
    14	days	day	NOUN	NNS	Number=Plur	4	obl	_	FUN=day_N

4	report	report	VERB	VB	VerbForm=Inf	0	root	_	FUN=reportVB
    2	organisation	organisation	NOUN	NN	Number=Sing	4	nsubj	_	FUN=organisation_N
    3	must	must	AUX	MD	VerbForm=Fin	4	aux	_	_
    8	breach	breach	NOUN	NN	Number=Sing	4	obj	_	FUN=breach_N
    11	Commission	commission	NOUN	NN	Number=Sing	4	obl	_	FUN=commission_N
    13	soon	soon	ADV	RB	Degree=Pos	4	advmod	_	_
    15	practicable	practicable	ADJ	JJ	Degree=Pos	4	advcl	_	FUN=practicable_A

4	report	report	VERB	VB	VerbForm=Inf	0	root	_	FUN=reportVB
    2	organisation	organisation	NOUN	NN	Number=Sing	4	nsubj	_	FUN=organisation_N
    3	must	must	AUX	MD	VerbForm=Fin	4	aux	_	_
    8	breach	breach	NOUN	NN	Number=Sing	4	obj	_	FUN=breach_N
    11	Commission	commission	NOUN	NN	Number=Sing	4	obl	_	FUN=commission_N
    13	soon	soon	ADV	RB	Degree=Pos	4	advmod	_	_
    15	possible	possible	ADJ	JJ	Degree=Pos	4	advcl	_	FUN=possible_A

25	notify	notify	VERB	VB	VerbForm=Inf	0	root	_	FUN=notifyVB
    4	assesses	assess	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	25	advcl	_	FUN=assessVBZ
    21	,	,	PUNCT	,	_	25	punct	_	_
    23	organisation	organisation	NOUN	NN	Number=Sing	25	nsubj	_	FUN=organisation_N
    24	must	must	AUX	MD	VerbForm=Fin	25	aux	_	_
    27	Commission	commission	NOUN	NN	Number=Sing	25	obj	_	FUN=commission_N
    29	soon	soon	ADV	RB	Degree=Pos	25	advmod	_	_
    49	makes	make	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	25	conj	_	FUN=makeVBZ
    52	.	.	PUNCT	.	_	25	punct	_	_

5	notified	notify	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass	0	root	_	FUN=notifyVBN
    2	Commission	commission	NOUN	NN	Number=Sing	5	nsubj:pass	_	FUN=commission_N
